INCIDENT_NUMBER,OFFENSE_CODE,OFFENSE_CODE_GROUP,OFFENSE_DESCRIPTION,DISTRICT,REPORTING_AREA,SHOOTING,OCCURRED_ON_DATE,YEAR,MONTH,DAY_OF_WEEK,HOUR,UCR_PART,STREET,Lat,Long,Location
I182069427,03108,Fire Related Reports,"FIRE REPORT - HOUSE, BUILDING, ETC.",C11,817,,2018-08-29 17:49:00,2018,8,Wednesday,17,Part Three,DORCHESTER AVE,42.28907082,-71.06338098,"(42.28907082, -71.06338098)"
I182069426,01402,Vandalism,VANDALISM,C6,214,,2018-08-29 18:37:00,2018,8,Wednesday,18,Part Two,D ST,42.33843569,-71.05126876,"(42.33843569, -71.05126876)"
I182069424,01503,Firearm Violations,"WEAPON - OTHER - CARRYING / POSSESSING, ETC",B3, ,,2018-08-29 18:34:00,2018,8,Wednesday,18,Part Two,AMERICAN LEGION HWY,,,"(0.00000000, 0.00000000)"
I182069423,02646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,B2,280,,2018-08-29 18:29:00,2018,8,Wednesday,18,Part Two,WASHINGTON ST,42.32925905,-71.08482402,"(42.32925905, -71.08482402)"
I182069422,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,691,,2018-08-29 18:20:00,2018,8,Wednesday,18,Part Two,CENTRE ST,42.28732082,-71.15053079,"(42.28732082, -71.15053079)"
I182069420,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B2,179,,2018-08-29 17:57:00,2018,8,Wednesday,17,Part Two,,,,"(0.00000000, 0.00000000)"
I182069420,02610,Other,TRESPASSING,B2,179,,2018-08-29 17:57:00,2018,8,Wednesday,17,Part Two,,,,"(0.00000000, 0.00000000)"
I182069420,01510,Firearm Violations,WEAPON - FIREARM - OTHER VIOLATION,B2,179,,2018-08-29 17:57:00,2018,8,Wednesday,17,Part Two,,,,"(0.00000000, 0.00000000)"
I182069419,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,821,,2018-08-05 20:10:00,2018,8,Sunday,20,Part Two,BIRCHWOOD ST,42.25833321,-71.15771218,"(42.25833321, -71.15771218)"
I182069417,01830,Drug Violation,DRUGS - SICK ASSIST - HEROIN,A1,75,,2018-08-29 17:31:00,2018,8,Wednesday,17,Part Two,CAUSEWAY ST,42.36497550,-71.06204400,"(42.36497550, -71.06204400)"
I182069416,03109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A1,117,,2018-08-29 17:21:00,2018,8,Wednesday,17,Part Three,BOYLSTON ST,42.35231190,-71.06370510,"(42.35231190, -71.06370510)"
I182069414,00619,Larceny,LARCENY ALL OTHERS,B3,432,,2018-08-29 17:59:00,2018,8,Wednesday,17,Part One,WOODROW AVE,42.28712049,-71.08421139,"(42.28712049, -71.08421139)"
I182069412,02646,Liquor Violation,LIQUOR - DRINKING IN PUBLIC,B2,288,,2018-08-29 17:58:00,2018,8,Wednesday,17,Part Two,WASHINGTON ST,42.32974821,-71.08454012,"(42.32974821, -71.08454012)"
I182069411,01402,Vandalism,VANDALISM,B2,310,,2018-08-29 17:13:00,2018,8,Wednesday,17,Part Two,ELBERT ST,42.31733171,-71.08569645,"(42.31733171, -71.08569645)"
I182069410,00613,Larceny,LARCENY SHOPLIFTING,A1,93,,2018-08-29 16:45:00,2018,8,Wednesday,16,Part One,FANEUIL HALL SQ,42.36020464,-71.05620816,"(42.36020464, -71.05620816)"
I182069409,03114,Investigate Property,INVESTIGATE PROPERTY,E18,520,,2018-08-29 17:51:00,2018,8,Wednesday,17,Part Three,HYDE PARK AVE,42.25621592,-71.12401947,"(42.25621592, -71.12401947)"
I182069408,03801,Motor Vehicle Accident Response,M/V ACCIDENT - OTHER,C11,345,,2018-08-29 17:00:00,2018,8,Wednesday,17,Part Three,DRAPER ST,42.30246937,-71.06376578,"(42.30246937, -71.06376578)"
I182069407,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B2,310,,2018-08-29 17:33:00,2018,8,Wednesday,17,Part One,MARTIN LUTHER KING JR BLV,42.31847226,-71.08409289,"(42.31847226, -71.08409289)"
I182069406,03301,Verbal Disputes,VERBAL DISPUTE,C11,459,,2018-08-29 16:44:00,2018,8,Wednesday,16,Part Three,WASHINGTON ST,42.30422176,-71.07918459,"(42.30422176, -71.07918459)"
I182069405,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,607,,2018-08-29 16:15:00,2018,8,Wednesday,16,Part Three,GROTTO GLEN RD,42.32563183,-71.10845359,"(42.32563183, -71.10845359)"
I182069404,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,171,,2018-08-28 07:00:00,2018,8,Tuesday,7,Part One,HARRISON AVE,42.33511904,-71.07491710,"(42.33511904, -71.07491710)"
I182069403,00613,Larceny,LARCENY SHOPLIFTING,E13,304,,2018-08-29 17:08:00,2018,8,Wednesday,17,Part One,COLUMBUS AVE,42.31771534,-71.09823049,"(42.31771534, -71.09823049)"
I182069402,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,D14,816,,2018-08-29 16:40:00,2018,8,Wednesday,16,Part Three,LINCOLN ST,42.35745927,-71.12909950,"(42.35745927, -71.12909950)"
I182069401,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,116,,2018-08-29 14:42:00,2018,8,Wednesday,14,Part Three,LINCOLN ST,42.35131763,-71.05838367,"(42.35131763, -71.05838367)"
I182069399,00619,Larceny,LARCENY ALL OTHERS,B3,429,,2018-08-29 17:16:00,2018,8,Wednesday,17,Part One,WOODROW AVE,42.28647012,-71.08714661,"(42.28647012, -71.08714661)"
I182069398,01501,Firearm Violations,"WEAPON - FIREARM - CARRYING / POSSESSING, ETC",B3, ,,2018-08-29 17:01:00,2018,8,Wednesday,17,Part Two,BLUE HILL AVE,,,"(0.00000000, 0.00000000)"
I182069397,03007,Medical Assistance,SUDDEN DEATH,C11,935,,2018-08-29 15:53:00,2018,8,Wednesday,15,Part Three,DORCHESTER AVE,42.27273548,-71.06792411,"(42.27273548, -71.06792411)"
I182069396,03125,Warrant Arrests,WARRANT ARREST,A1, ,,2018-08-29 16:48:00,2018,8,Wednesday,16,Part Three,CAMBRIDGE ST,,,"(0.00000000, 0.00000000)"
I182069395,01806,Drug Violation,DRUGS - CLASS B TRAFFICKING OVER 18 GRAMS,A7,26,,2018-08-29 16:36:00,2018,8,Wednesday,16,Part Two,CONDOR ST,42.38260122,-71.03930935,"(42.38260122, -71.03930935)"
I182069394,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E13,636,,2018-08-29 16:37:00,2018,8,Wednesday,16,Part Three,CENTRE ST,42.31949472,-71.11161967,"(42.31949472, -71.11161967)"
I182069393,03803,Motor Vehicle Accident Response,M/V ACCIDENT - PERSONAL INJURY,B2,319,,2018-08-29 16:20:00,2018,8,Wednesday,16,Part Three,CHENEY ST,42.30882778,-71.08414980,"(42.30882778, -71.08414980)"
I182069391,00613,Larceny,LARCENY SHOPLIFTING,D4,133,,2018-08-29 16:19:00,2018,8,Wednesday,16,Part One,NEWBURY ST,42.35237073,-71.07227173,"(42.35237073, -71.07227173)"
I182069390,00617,Larceny,LARCENY THEFT FROM BUILDING,A1,173,,2018-08-28 20:45:00,2018,8,Tuesday,20,Part One,ATLANTIC AVE,42.35218278,-71.05567880,"(42.35218278, -71.05567880)"
I182069388,03201,Property Lost,PROPERTY - LOST,D4,937,,2018-08-29 16:49:25,2018,8,Wednesday,16,Part Three,SHAWMUT AVE,42.33632386,-71.07956047,"(42.33632386, -71.07956047)"
I182069387,03207,Property Found,PROPERTY - FOUND,A7,28,,2018-08-29 16:49:00,2018,8,Wednesday,16,Part Three,PARIS ST,42.37081805,-71.03929078,"(42.37081805, -71.03929078)"
I182069386,00619,Larceny,LARCENY ALL OTHERS,D14,760,,2018-08-28 19:29:00,2018,8,Tuesday,19,Part One,WASHINGTON ST,42.34934252,-71.16386818,"(42.34934252, -71.16386818)"
I182069384,03820,Motor Vehicle Accident Response,M/V ACCIDENT INVOLVING PEDESTRIAN - INJURY,D4,271,,2018-08-26 14:22:00,2018,8,Sunday,14,Part Three,NORTHAMPTON ST,42.33598881,-71.07764721,"(42.33598881, -71.07764721)"
I182069383,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E5,746,,2018-08-29 15:55:00,2018,8,Wednesday,15,Part Three,LAGRANGE ST,42.29507593,-71.17147165,"(42.29507593, -71.17147165)"
I182069382,00616,Larceny,LARCENY THEFT OF BICYCLE,D4,166,,2018-08-29 13:00:00,2018,8,Wednesday,13,Part One,WALTHAM ST,42.34241441,-71.06969105,"(42.34241441, -71.06969105)"
I182069380,03001,Medical Assistance,DEATH INVESTIGATION,E5,694,,2018-08-29 15:35:00,2018,8,Wednesday,15,Part Three,CHILTON RD,42.29254340,-71.16050494,"(42.29254340, -71.16050494)"
I182069379,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,A1, ,,2018-08-29 14:15:00,2018,8,Wednesday,14,Part Three,GROVE ST,,,"(0.00000000, 0.00000000)"
I182069377,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,A1,124,,2018-08-22 16:30:00,2018,8,Wednesday,16,Part Three,JOHN F. FITZGERALD SURFAC,42.35014256,-71.05973905,"(42.35014256, -71.05973905)"
I182069376,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,D14,956,,2018-08-29 15:39:00,2018,8,Wednesday,15,Part Three,WASHINGTON ST,42.34266946,-71.14098779,"(42.34266946, -71.14098779)"
I182069375,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,E13,572,,2018-08-27 16:10:00,2018,8,Monday,16,Part Two,WASHINGTON ST,42.31485546,-71.09922410,"(42.31485546, -71.09922410)"
I182069374,01843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,C6,936,,2018-08-29 15:30:00,2018,8,Wednesday,15,Part Two,W SEVENTH ST,42.33814782,-71.05682769,"(42.33814782, -71.05682769)"
I182069374,01810,Drug Violation,DRUGS - SALE / MANUFACTURING,C6,936,,2018-08-29 15:30:00,2018,8,Wednesday,15,Part Two,W SEVENTH ST,42.33814782,-71.05682769,"(42.33814782, -71.05682769)"
I182069372,03301,Verbal Disputes,VERBAL DISPUTE,B2,315,,2018-08-29 15:39:00,2018,8,Wednesday,15,Part Three,WAUMBECK ST,42.31401290,-71.08635277,"(42.31401290, -71.08635277)"
I182069371,01810,Drug Violation,DRUGS - SALE / MANUFACTURING,D14,778,,2018-08-29 16:06:00,2018,8,Wednesday,16,Part Two,WASHINGTON ST,42.34905600,-71.15049850,"(42.34905600, -71.15049850)"
I182069370,01849,Drug Violation,"DRUGS - POSS CLASS B - COCAINE, ETC.",C6,219,,2018-08-29 16:05:00,2018,8,Wednesday,16,Part Two,E EIGHTH ST,42.33125163,-71.04742050,"(42.33125163, -71.04742050)"
I182069369,03115,Investigate Person,INVESTIGATE PERSON,D4,138,,2018-08-29 15:28:00,2018,8,Wednesday,15,Part Three,NEWBURY ST,42.34999733,-71.08103440,"(42.34999733, -71.08103440)"
I182069368,03201,Property Lost,PROPERTY - LOST,A1,98,,2018-08-29 14:30:00,2018,8,Wednesday,14,Part Three,MILK ST,42.35674089,-71.05794654,"(42.35674089, -71.05794654)"
I182069367,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,A1,92,,2018-08-29 15:06:00,2018,8,Wednesday,15,Part Two,COURT ST,42.35892279,-71.05835354,"(42.35892279, -71.05835354)"
I182069366,03201,Property Lost,PROPERTY - LOST,D14,796,,2018-08-17 23:20:00,2018,8,Friday,23,Part Three,COMMONWEALTH AVE,42.35073963,-71.13047909,"(42.35073963, -71.13047909)"
I182069365,01847,Drug Violation,DRUGS - POSS CLASS C - INTENT TO MFR DIST DISP,D4,171,,2018-08-29 11:25:00,2018,8,Wednesday,11,Part Two,HARRISON AVE,42.33511904,-71.07491710,"(42.33511904, -71.07491710)"
I182069365,01843,Drug Violation,DRUGS - POSS CLASS B - INTENT TO MFR DIST DISP,D4,171,,2018-08-29 11:25:00,2018,8,Wednesday,11,Part Two,HARRISON AVE,42.33511904,-71.07491710,"(42.33511904, -71.07491710)"
I182069365,01850,Drug Violation,DRUGS - POSS CLASS E - INTENT TO MFR DIST DISP,D4,171,,2018-08-29 11:25:00,2018,8,Wednesday,11,Part Two,HARRISON AVE,42.33511904,-71.07491710,"(42.33511904, -71.07491710)"
I182069363,03805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,E18,499,,2018-08-29 15:47:52,2018,8,Wednesday,15,Part Three,HYDE PARK AVE,42.27775018,-71.11938931,"(42.27775018, -71.11938931)"
I182069362,03115,Investigate Person,INVESTIGATE PERSON,D4,618,,2018-08-29 15:03:00,2018,8,Wednesday,15,Part Three,SAINT STEPHEN ST,42.34150501,-71.08833674,"(42.34150501, -71.08833674)"
I182069360,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,142,,2018-06-28 00:00:00,2018,6,Thursday,0,Part Two,NEWBURY ST,42.34840576,-71.08688339,"(42.34840576, -71.08688339)"
I182069359,03115,Investigate Person,INVESTIGATE PERSON,E18,502,,2018-08-29 15:34:00,2018,8,Wednesday,15,Part Three,PHILBRICK ST,42.28545883,-71.11802667,"(42.28545883, -71.11802667)"
I182069358,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,C11,248,,2018-08-29 14:41:00,2018,8,Wednesday,14,Part Three,ELTON ST,42.31383137,-71.05637660,"(42.31383137, -71.05637660)"
I182069357,03410,Towed,TOWED MOTOR VEHICLE,D4,151,,2018-08-29 14:34:00,2018,8,Wednesday,14,Part Three,CHANDLER ST,42.34715987,-71.07026381,"(42.34715987, -71.07026381)"
I182069355,03201,Property Lost,PROPERTY - LOST,A7,21,,2018-08-29 15:24:00,2018,8,Wednesday,15,Part Three,CHELSEA ST,42.37415931,-71.03382162,"(42.37415931, -71.03382162)"
I182069354,02905,Violations,VAL - OPERATING WITHOUT LICENSE,E13,303,,2018-08-29 14:49:00,2018,8,Wednesday,14,Part Two,BRAY ST,42.31734831,-71.09835673,"(42.31734831, -71.09835673)"
I182069353,02647,Other,THREATS TO DO BODILY HARM,D4,169,,2018-08-29 12:00:00,2018,8,Wednesday,12,Part Two,HARRISON AVE,42.33790301,-71.07145236,"(42.33790301, -71.07145236)"
I182069352,02647,Other,THREATS TO DO BODILY HARM,B2,586,,2018-08-29 14:08:00,2018,8,Wednesday,14,Part Two,HILLSIDE ST,42.33043340,-71.10268549,"(42.33043340, -71.10268549)"
I182069351,03125,Warrant Arrests,WARRANT ARREST,A1,111,,2018-08-29 14:43:00,2018,8,Wednesday,14,Part Three,TEMPLE PL,42.35478783,-71.06123562,"(42.35478783, -71.06123562)"
I182069349,03830,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PERSONAL INJURY,A7,26,,2018-08-29 14:41:00,2018,8,Wednesday,14,Part Three,MERIDIAN ST,42.37553782,-71.03910405,"(42.37553782, -71.03910405)"
I182069348,03410,Towed,TOWED MOTOR VEHICLE,C6,222,,2018-08-29 13:49:00,2018,8,Wednesday,13,Part Three,E SECOND ST,42.33730678,-71.03646955,"(42.33730678, -71.03646955)"
I182069347,03201,Property Lost,PROPERTY - LOST,A1,78,,2018-08-29 10:45:00,2018,8,Wednesday,10,Part Three,HANOVER ST,42.36179428,-71.05711270,"(42.36179428, -71.05711270)"
I182069346,03301,Verbal Disputes,VERBAL DISPUTE,B3,469,,2018-08-29 14:29:00,2018,8,Wednesday,14,Part Three,MATTAPAN ST,42.27974263,-71.09771603,"(42.27974263, -71.09771603)"
I182069345,03831,Motor Vehicle Accident Response,M/V - LEAVING SCENE - PROPERTY DAMAGE,E18, ,,2018-08-29 10:10:00,2018,8,Wednesday,10,Part Three,CUMMINS HWY,,,"(0.00000000, 0.00000000)"
I182069344,03115,Investigate Person,INVESTIGATE PERSON,E18,527,,2018-08-29 14:03:00,2018,8,Wednesday,14,Part Three,STANBRO ST,42.23552076,-71.13315135,"(42.23552076, -71.13315135)"
I182069343,03301,Verbal Disputes,VERBAL DISPUTE,E18,546,,2018-08-29 14:26:00,2018,8,Wednesday,14,Part Three,AUSTIN ST,42.26630876,-71.12465953,"(42.26630876, -71.12465953)"
I182069342,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,319,,2018-08-29 13:50:00,2018,8,Wednesday,13,Part One,NAZING ST,42.30664081,-71.08584976,"(42.30664081, -71.08584976)"
I182069341,03115,Investigate Person,INVESTIGATE PERSON,E13,649,,2018-08-29 09:39:00,2018,8,Wednesday,9,Part Three,SOUTH ST,42.30827035,-71.11549644,"(42.30827035, -71.11549644)"
I182069340,01402,Vandalism,VANDALISM,C6,214,,2018-08-22 12:00:00,2018,8,Wednesday,12,Part Two,W FOURTH ST,42.33759774,-71.05089010,"(42.33759774, -71.05089010)"
I182069339,03208,Property Lost,PROPERTY - MISSING,C11,364,,2018-08-01 00:00:00,2018,8,Wednesday,0,Part Three,DIX ST,42.29601566,-71.05766432,"(42.29601566, -71.05766432)"
I182069338,03501,Missing Person Reported,MISSING PERSON,B2,294,,2018-08-24 13:30:00,2018,8,Friday,13,Part Three,ALPINE ST,42.32545165,-71.08677983,"(42.32545165, -71.08677983)"
I182069337,01402,Vandalism,VANDALISM,C6,214,,2018-08-22 08:00:00,2018,8,Wednesday,8,Part Two,E ST,42.33762749,-71.04950865,"(42.33762749, -71.04950865)"
I182069334,03201,Property Lost,PROPERTY - LOST,B3,420,,2017-12-08 22:00:00,2017,12,Friday,22,Part Three,MORTON ST,42.27959103,-71.08132258,"(42.27959103, -71.08132258)"
I182069333,03115,Investigate Person,INVESTIGATE PERSON,C11,357,,2018-08-29 13:40:00,2018,8,Wednesday,13,Part Three,WESTVILLE ST,42.30010597,-71.07102710,"(42.30010597, -71.07102710)"
I182069331,03301,Verbal Disputes,VERBAL DISPUTE,C11,459,,2018-08-29 13:48:00,2018,8,Wednesday,13,Part Three,WASHINGTON ST,42.30422176,-71.07918459,"(42.30422176, -71.07918459)"
I182069330,00617,Larceny,LARCENY THEFT FROM BUILDING,D4,619,,2018-08-29 10:00:00,2018,8,Wednesday,10,Part One,HUNTINGTON AVE,42.34221544,-71.08577075,"(42.34221544, -71.08577075)"
I182069330,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,D4,619,,2018-08-29 10:00:00,2018,8,Wednesday,10,Part Two,HUNTINGTON AVE,42.34221544,-71.08577075,"(42.34221544, -71.08577075)"
I182069328,03160,Fire Related Reports,"FIRE REPORT - CAR, BRUSH, ETC.",C11,387,,2018-08-29 13:00:00,2018,8,Wednesday,13,Part Three,ADAMS ST,42.27415489,-71.06282889,"(42.27415489, -71.06282889)"
I182069327,03301,Verbal Disputes,VERBAL DISPUTE,E18,487,,2018-08-29 13:21:00,2018,8,Wednesday,13,Part Three,TILESTON ST,42.26577372,-71.10626422,"(42.26577372, -71.10626422)"
I182069326,00613,Larceny,LARCENY SHOPLIFTING,C11,373,,2018-08-29 13:20:00,2018,8,Wednesday,13,Part One,FREEPORT ST,42.29234068,-71.04803996,"(42.29234068, -71.04803996)"
I182069326,01300,Recovered Stolen Property,STOLEN PROPERTY - BUYING / RECEIVING / POSSESSING,C11,373,,2018-08-29 13:20:00,2018,8,Wednesday,13,Part Two,FREEPORT ST,42.29234068,-71.04803996,"(42.29234068, -71.04803996)"
I182069325,00619,Larceny,LARCENY ALL OTHERS,C6,225,,2018-08-09 12:00:00,2018,8,Thursday,12,Part One,E BROADWAY,42.33554421,-71.04075010,"(42.33554421, -71.04075010)"
I182069324,02647,Other,THREATS TO DO BODILY HARM,E5,667,,2018-08-26 00:00:00,2018,8,Sunday,0,Part Two,ARBOROUGH RD,42.28980619,-71.12815040,"(42.28980619, -71.12815040)"
I182069323,03115,Investigate Person,INVESTIGATE PERSON,C6,204,,2018-08-29 08:00:00,2018,8,Wednesday,8,Part Three,CHANNEL CENTER ST,42.34556623,-71.05151508,"(42.34556623, -71.05151508)"
I182069321,01106,Confidence Games,FRAUD - CREDIT CARD / ATM FRAUD,A7,22,,2018-08-29 13:34:00,2018,8,Wednesday,13,Part Two,HAVRE ST,42.37622688,-71.03439728,"(42.37622688, -71.03439728)"
I182069320,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,C11,350,,2018-08-28 20:00:00,2018,8,Tuesday,20,Part One,DORCHESTER AVE,42.30308131,-71.05945101,"(42.30308131, -71.05945101)"
I182069319,03115,Investigate Person,INVESTIGATE PERSON,E13, ,,2018-08-29 12:54:00,2018,8,Wednesday,12,Part Three,BURROUGHS ST,,,"(0.00000000, 0.00000000)"
I182069317,01402,Vandalism,VANDALISM,C6,175,,2018-08-29 12:16:00,2018,8,Wednesday,12,Part Two,BRADSTON ST,42.33374643,-71.07020353,"(42.33374643, -71.07020353)"
I182069316,03119,Firearm Discovery,FIREARM/WEAPON - FOUND OR CONFISCATED,B2,289,,2018-08-29 13:17:00,2018,8,Wednesday,13,Part Three,TREMONT ST,42.33402461,-71.09039049,"(42.33402461, -71.09039049)"
I182069315,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),C11,336,,2018-08-29 12:28:00,2018,8,Wednesday,12,Other,BOWDOIN ST,42.30406551,-71.07003320,"(42.30406551, -71.07003320)"
I182069314,03201,Property Lost,PROPERTY - LOST,C6,200,,2018-08-15 12:00:00,2018,8,Wednesday,12,Part Three,A ST,42.34145518,-71.05593804,"(42.34145518, -71.05593804)"
I182069313,03109,Police Service Incidents,SERVICE TO OTHER PD INSIDE OF MA.,A1,117,,2018-08-29 12:59:00,2018,8,Wednesday,12,Part Three,WASHINGTON ST,42.35153691,-71.06280733,"(42.35153691, -71.06280733)"
I182069312,03410,Towed,TOWED MOTOR VEHICLE,E13,638,,2018-08-29 11:45:00,2018,8,Wednesday,11,Part Three,CHESTNUT AVE,42.31799725,-71.10611247,"(42.31799725, -71.10611247)"
I182069311,03201,Property Lost,PROPERTY - LOST,D4,137,,2018-08-28 21:00:00,2018,8,Tuesday,21,Part Three,NEWBURY ST,42.34942050,-71.08315800,"(42.34942050, -71.08315800)"
I182069310,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,B2,614,,2018-08-29 11:25:00,2018,8,Wednesday,11,Part Three,LONGWOOD AVE,42.33799689,-71.10566020,"(42.33799689, -71.10566020)"
I182069309,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,E18,495,,2018-08-29 12:02:00,2018,8,Wednesday,12,Part Three,GREENWOOD AVE,42.26470249,-71.11898016,"(42.26470249, -71.11898016)"
I182069308,00614,Larceny From Motor Vehicle,LARCENY THEFT FROM MV - NON-ACCESSORY,B3,457,,2018-08-29 12:47:00,2018,8,Wednesday,12,Part One,DRUMMOND ST,42.30066767,-71.08422846,"(42.30066767, -71.08422846)"
I182069307,01402,Vandalism,VANDALISM,C6,214,,2018-08-15 22:00:00,2018,8,Wednesday,22,Part Two,E ST,42.33762749,-71.04950865,"(42.33762749, -71.04950865)"
I182069306,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,604,,2018-08-28 18:30:00,2018,8,Tuesday,18,Part One,HUNTINGTON AVE,42.33391238,-71.10524519,"(42.33391238, -71.10524519)"
I182069305,02647,Other,THREATS TO DO BODILY HARM,B2,324,,2018-08-29 11:46:00,2018,8,Wednesday,11,Part Two,BLUE HILL AVE,42.31709355,-71.07802977,"(42.31709355, -71.07802977)"
I182069304,03410,Towed,TOWED MOTOR VEHICLE,A1,70,,2018-08-29 08:57:00,2018,8,Wednesday,8,Part Three,BEACON ST,42.35641912,-71.06834742,"(42.35641912, -71.06834742)"
I182069303,01402,Vandalism,VANDALISM,C11,242,,2018-08-29 10:58:00,2018,8,Wednesday,10,Part Two,SUMNER SQ,42.31632540,-71.06223796,"(42.31632540, -71.06223796)"
I182069302,00724,Auto Theft,AUTO THEFT,B2,312,,2018-08-29 11:36:00,2018,8,Wednesday,11,Part One,CRAWFORD ST,42.31697701,-71.09163128,"(42.31697701, -71.09163128)"
I182069301,03802,Motor Vehicle Accident Response,M/V ACCIDENT - PROPERTY  DAMAGE,A7,11,,2018-08-29 11:45:00,2018,8,Wednesday,11,Part Three,WILLIAM F MCCLELLAN HWY,42.38777475,-71.01769231,"(42.38777475, -71.01769231)"
I182069298,03114,Investigate Property,INVESTIGATE PROPERTY,E5,731,,2018-08-29 11:59:00,2018,8,Wednesday,11,Part Three,CHESBROUGH RD,42.28179900,-71.16700661,"(42.28179900, -71.16700661)"
I182069297,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B2,264,,2018-08-29 11:48:00,2018,8,Wednesday,11,Part Two,GAYLAND ST,42.31989006,-71.07626209,"(42.31989006, -71.07626209)"
I182069295,03301,Verbal Disputes,VERBAL DISPUTE,E5,941,,2018-08-29 11:30:00,2018,8,Wednesday,11,Part Three,BROOKWAY TER,42.29066443,-71.11984079,"(42.29066443, -71.11984079)"
I182069293,03006,Medical Assistance,SICK/INJURED/MEDICAL - PERSON,, ,,2018-08-29 11:53:00,2018,8,Wednesday,11,Part Three,BERTH 10,,,"(0.00000000, 0.00000000)"
I182069292,03208,Property Lost,PROPERTY - MISSING,E5,550,,2018-08-29 00:00:00,2018,8,Wednesday,0,Part Three,HIGHCREST RD,42.27515909,-71.13767216,"(42.27515909, -71.13767216)"
I182069291,03805,Motor Vehicle Accident Response,M/V ACCIDENT - POLICE VEHICLE,A7, ,,2018-08-29 11:21:00,2018,8,Wednesday,11,Part Three,,,,"(0.00000000, 0.00000000)"
I182069290,01102,Fraud,FRAUD - FALSE PRETENSE / SCHEME,D4,167,,2018-08-28 11:45:00,2018,8,Tuesday,11,Part Two,ALBANY ST,42.33827457,-71.06678677,"(42.33827457, -71.06678677)"
I182069289,00613,Larceny,LARCENY SHOPLIFTING,A1,66,,2018-08-29 10:11:00,2018,8,Wednesday,10,Part One,CHARLES ST,42.36064470,-71.07086192,"(42.36064470, -71.07086192)"
I182069288,00801,Simple Assault,ASSAULT - SIMPLE,C11,358,,2018-08-29 11:26:00,2018,8,Wednesday,11,Part Two,WASHINGTON ST,42.29569680,-71.07214055,"(42.29569680, -71.07214055)"
I182069287,03007,Medical Assistance,SUDDEN DEATH,A7,17,,2018-08-29 11:15:00,2018,8,Wednesday,11,Part Three,SHELBY ST,42.38090412,-71.02795572,"(42.38090412, -71.02795572)"
I182069285,02610,Other,TRESPASSING,B2,288,,2018-08-29 11:00:00,2018,8,Wednesday,11,Part Two,ROXBURY ST,42.32952036,-71.08530641,"(42.32952036, -71.08530641)"
I182069285,03125,Warrant Arrests,WARRANT ARREST,B2,288,,2018-08-29 11:00:00,2018,8,Wednesday,11,Part Three,ROXBURY ST,42.32952036,-71.08530641,"(42.32952036, -71.08530641)"
I182069284,03115,Investigate Person,INVESTIGATE PERSON,B3,945,,2018-08-29 10:57:22,2018,8,Wednesday,10,Part Three,WESTVIEW ST,42.29091867,-71.08767813,"(42.29091867, -71.08767813)"
I182069283,01848,Drug Violation,DRUGS - POSS CLASS D - INTENT TO MFR DIST DISP,B3,444,,2018-08-29 11:08:00,2018,8,Wednesday,11,Part Two,HARVARD ST,42.29530363,-71.08635771,"(42.29530363, -71.08635771)"
I182069283,02907,Violations,VAL - OPERATING AFTER REV/SUSP.,B3,444,,2018-08-29 11:08:00,2018,8,Wednesday,11,Part Two,HARVARD ST,42.29530363,-71.08635771,"(42.29530363, -71.08635771)"
